SOURCE;QAM_COD;DCR_SEGMENT_CE_LIB;CLASSE_TAILLE;PORT_EXP_COD;PORT_EXP_LIB;METIER_DCF_5_COD;METIER_DCF_5_LIB;NIV_SECTEUR_COD;SECTEUR_COD;TRIMESTRE;ANNEE;RG_COD;NB_NAVIRES;EFFECTIF_NAVIRE_MOY;NAVP_JAUGE_GT_MOY;NAVP_PUISSANCE_AD_MOY;NB_MAREES;NB_MAREES_INF_95;NB_MAREES_SUP_95;JOURS_DE_MER;JOURS_DE_MER_INF_95;JOURS_DE_MER_SUP_95
SACROIS;PV;Casiers et piÃ¨ges;VL1218;GPV;Port-la-Nouvelle;FPO_CEP;Nasses et piÃ¨ges - CÃ©phalopodes;NIV5;MT11;3;2018;LR;1;1.71;1300;103;2;2;2;2;2;2
SACROIS;PV;Casiers et piÃ¨ges;VL1218;GPV;Port-la-Nouvelle;FPO_CEP;Nasses et piÃ¨ges - CÃ©phalopodes;NIV5;MT12;3;2018;LR;1;1.71;1300;103;18;18;18;18;18;18
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MD11;4;2018;LR;5;3;7074.51851851852;262.62962962963;11.4166666666667;11.4166666666667;11.4166666666667;11.4166666666667;11.4166666666667;11.4166666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MD12;1;2018;LR;10;3.44405882352941;7089.76764705882;313.282352941176;161.041666666667;161.041666666667;161.041666666667;167.458333333333;167.458333333333;167.458333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MD12;1;2018;LR;3;3.08620689655172;5852.06896551724;316;40.5;40.5;40.5;44.5;44.5;44.5
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MD12;1;2018;LR;4;3;7080.71900826446;278.198347107438;72.9166666666667;72.9166666666667;72.9166666666667;72.9166666666667;72.9166666666667;72.9166666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MD12;2;2018;LR;11;3.36571428571429;7178.8630952381;313;77.8333333333333;77.8333333333333;77.8333333333333;81.6666666666667;81.6666666666667;81.6666666666667
SACROIS;ST;Chalut et sennes de fond;VL1824;PST;SÃ¨te-Mole et canaux;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MD12;2;2018;LR;2;3;5946.15384615385;316;21;21;21;21;21;21
SACROIS;ST;Chalut et sennes de fond;VL1824;BST;Grau d'Agde;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MD12;2;2018;LR;4;3;6821.66666666667;300.396825396825;31.8333333333333;31.8333333333333;31.8333333333333;31.8333333333333;31.8333333333333;31.8333333333333
SACROIS;ST;Chalut et sennes de fond;VL1824;GST;Le-Grau-du-Roi;OTB_CEP;Chaluts de fond Ã  panneaux - CÃ©phalopodes;NIV5;MD12;3;2018;LR;11;3.30721254355401;6688.53658536585;313.731707317073;137.535714285714;137.535714285714;137.535714285714;140.190476190476;140.190476190476;140.190476190476
