ancien ordre;Port lib;Latitude;Longitude;ordre nouveau
65;Etang†de†Bages-Sigean,†Peyriac†de†mer;43.09004663790197; 2.9624588776254486;1
61;Etang†de†Salse-Leucate,†Port†Barcar√®s;42.85834886605678; 2.9945589871991984;2
106;Canet-en-Roussillon;42.704107466237936; 3.0346990920477133;3
105;Saint-Cyprien;42.622102614347654; 3.0362996944051823;4
68;Port†St†Ange;42.80085608969058; 3.0370782829879315;5
64;Etang†de†Bages-Sigean,†Bages;42.86634087283263; 3.0429010288630125;6
6;Port-la-Nouvelle;43.02751156393313; 3.0433958122528946;7
62;Port-Leucate;42.86797171073957; 3.0437530067656025;8
66;Etang†de†Salse-Leucate,Salse†-†la†Rouquette;42.886811993462196; 3.0499863617607104;9
60;Grau†de†Leucate;42.88565773522927; 3.0518427475456713;10
104;Argel√®s-sur-Mer,†Le†Racou;42.53839890398943; 3.0555824454688905;11
58;Etang†de†l'Ayrolle;43.08048560304059; 3.0676279871704515;12
10;Gruissan;43.102271147136335; 3.0941644489242446;13
9;Port-Vendres;42.51625073736771; 3.106625278731626;14
54;Banyuls-sur-Mer;42.480604002507555; 3.134585044343745;15
98;Narbonne†Plage;43.16210922068503; 3.168136830950558;16
47;Hy√®res,†St†Pierre†sur†mer;43.17036111802681; 3.1822180917358303;17
111;Les†Cabanes†de†Fleury;43.21765147227679; 3.2305192841170505;18
109;Valras-Plage;43.255301464932806; 3.298222505105864;19
7;Grau†d'Agde;43.292513261327905; 3.4475484530056675;20
8;Cap†d'Agde;43.27311009850569; 3.508695721605676;21
67;Etang†de†Thau,†Marseillan;43.35315362518123; 3.5342777811937354;22
108;Marseillan-plage;43.31788566607066; 3.557346441951772;23
56;Etang†de†Thau,†Pte†Courte,†Barrou,†Zup;43.37415055896933; 3.5696957055924807;24
52;Etang†de†Thau,†M√®ze,†le†Mourre†Blanc;43.40495938168261; 3.578205626504805;25
53;Frontignan;43.4264985237781; 3.6043896897778858;26
69;Etang†de†Thau,†Bouzigues;43.44648425805594; 3.6596708407882015;27
63;Etang†de†Thau,†Balaruc;43.44463174117374; 3.6803182223743094;28
3;S√®te-Mole†et†canaux;43.39619746736053; 3.6983725277532438;29
57;Etangs†de†Vic,†Moures,†Arnel,†Pr√©vost,†P.†Blanches;43.49591933927565; 3.805761699750674;30
51;Etang†d'Ingril,†Les†Aresquiers;43.46670486843967; 3.814507428870776;31
55;Palavas-les-Flots;43.5249626110809; 3.9325587606423733;32
107;Etang†de†Mauguio,†Cabanes†de†P√©rols,Mauguio;43.57138338581619; 3.9718538783592554;33
59;Etang†de†Mauguio,†Cabanes†de†Lunel;43.54845725093068; 3.9720653631618457;34
110;Carnon-Plage;43.54468727681508; 3.9729679149966812;35
4;Le-Grau-du-Roi;43.51442986261692; 4.13793579511688;36
13;Saintes-Maries-de-la-Mer,†Port†Cardian;43.44946346462311; 4.421743249614847;37
113;Darse†de†l'Amarr√©e†et†port†Dromar;43.44874414018038; 4.422844853613514;38
43;Cabanes†de†Beauduc;43.39791458859817; 4.5956922483242435;39
78;Les†Salins†de†Giraud;43.4018608458858; 4.725601491088287;40
74;Port-Saint-Louis-du-Rh√¥ne;43.38655758927952; 4.80546470578701;41
15;Fos†sur†Mer,†port†St†Gervais;43.43048030420438; 4.94227319181266;42
22;Port-de-Bouc,†Anse†Aubran;43.40390202262776; 4.9828989941836115;43
2;Martigues;43.39171742015577; 4.9899151102592585;44
88;Etang†de†Berre,†Istres†-les†heures†Claires;43.49803404384787; 4.999265890631193;45
90;Anse†des†laurons;43.35349195147067; 5.0236869085124365;46
5;Carro;43.33039627369745; 5.04098874205576;47
79;Etang†de†Berre,†Saint-Chamas;43.52123295381873; 5.046484346794098;48
73;Port†de†Carteau;43.40310845926163; 5.06234875590694;49
16;Sausset-les-Pins;43.33089649757706; 5.107809041684058;50
72;Etang†de†Berre,†La†M√®de;43.401223410718124; 5.111435833708124;51
